id,county,movedin,movedout,movednet
17115,"Macon County, Illinois",35,335,-300
17119,"Madison County, Illinois",220,210,10
17163,"St. Clair County, Illinois",70,90,-20
17167,"Sangamon County, Illinois",60,0,60
17197,"Will County, Illinois",35,0,35
17201,"Winnebago County, Illinois",275,0,275
18009,"Blackford County, Indiana",0,5,-5
18029,"Dearborn County, Indiana",0,65,-65
18035,"Delaware County, Indiana",0,405,-405
18057,"Hamilton County, Indiana",155,0,155
18063,"Hendricks County, Indiana",0,55,-55
18077,"Jefferson County, Indiana",35,0,35
18089,"Lake County, Indiana",0,40,-40
18091,"LaPorte County, Indiana",230,0,230
18141,"St. Joseph County, Indiana",0,90,-90
18153,"Sullivan County, Indiana",0,10,-10
18157,"Tippecanoe County, Indiana",0,35,-35
18181,"White County, Indiana",0,15,-15
19013,"Black Hawk County, Iowa",0,135,-135
19057,"Des Moines County, Iowa",115,0,115
19095,"Iowa County, Iowa",0,330,-330
19103,"Johnson County, Iowa",0,170,-170
19123,"Mahaska County, Iowa",40,0,40
19163,"Scott County, Iowa",0,410,-410
20091,"Johnson County, Kansas",105,275,-170
20099,"Labette County, Kansas",0,205,-205
20111,"Lyon County, Kansas",0,40,-40
20113,"McPherson County, Kansas",0,360,-360
20115,"Marion County, Kansas",0,10,-10
20173,"Sedgwick County, Kansas",100,0,100
20177,"Shawnee County, Kansas",0,110,-110
21015,"Boone County, Kentucky",0,140,-140
21019,"Boyd County, Kentucky",50,0,50
21021,"Boyle County, Kentucky",0,5,-5
21035,"Calloway County, Kentucky",0,100,-100
21047,"Christian County, Kentucky",175,25,150
21059,"Daviess County, Kentucky",275,0,275
21075,"Fulton County, Kentucky",0,5,-5
21083,"Graves County, Kentucky",20,0,20
21093,"Hardin County, Kentucky",205,0,205
21111,"Jefferson County, Kentucky",570,0,570
21141,"Logan County, Kentucky",0,195,-195
21145,"McCracken County, Kentucky",0,185,-185
21155,"Marion County, Kentucky",110,0,110
21187,"Owen County, Kentucky",0,225,-225
21237,"Wolfe County, Kentucky",0,10,-10
22003,"Allen Parish, Louisiana",0,25,-25
22005,"Ascension Parish, Louisiana",0,75,-75
22013,"Bienville Parish, Louisiana",65,0,65
22015,"Bossier Parish, Louisiana",0,70,-70
22033,"East Baton Rouge Parish, Louisiana",115,540,-425
22051,"Jefferson Parish, Louisiana",340,250,90
22059,"LaSalle Parish, Louisiana",0,30,-30
22061,"Lincoln Parish, Louisiana",90,0,90
22063,"Livingston Parish, Louisiana",45,0,45
22071,"Orleans Parish, Louisiana",0,175,-175
22083,"Richland Parish, Louisiana",0,35,-35
22101,"St. Mary Parish, Louisiana",0,60,-60
22103,"St. Tammany Parish, Louisiana",290,0,290
22105,"Tangipahoa Parish, Louisiana",0,270,-270
22109,"Terrebonne Parish, Louisiana",95,730,-635
23005,"Cumberland County, Maine",165,0,165
23019,"Penobscot County, Maine",0,60,-60
24003,"Anne Arundel County, Maryland",0,230,-230
24015,"Cecil County, Maryland",35,0,35
24031,"Montgomery County, Maryland",0,185,-185
24039,"Somerset County, Maryland",0,50,-50
25017,"Middlesex County, Massachusetts",0,55,-55
26049,"Genesee County, Michigan",115,5,110
26063,"Huron County, Michigan",0,30,-30
26065,"Ingham County, Michigan",120,0,120
26077,"Kalamazoo County, Michigan",125,205,-80
26091,"Lenawee County, Michigan",0,155,-155
26099,"Macomb County, Michigan",160,0,160
26147,"St. Clair County, Michigan",735,0,735
26163,"Wayne County, Michigan",540,385,155
