date,black,white
2010-01-01,1.94165,2.24176
2011-01-01,5.48313,0.87043
2012-01-01,4.74106,0.45846
2013-01-01,5.22095,0.51099
2014-01-01,11.56216,0.31205
2015-01-01,4.87173,0.18962
2016-01-01,5.33437,0.47183
2017-01-01,3.93147,0.23958
2018-01-01,4.75865,-0.12817
2019-01-01,5.89849,-0.23845
2020-01-01,6.87097,-0.48326
2021-01-01,3.3925,-1.89961
2022-01-01,6.62376,-0.92146
