DATE,B03002003E028033_PCH,B03002004E028033_PCH
2010-01-01,2.24176,1.94165
2011-01-01,0.87043,5.48313
2012-01-01,0.45846,4.74106
2013-01-01,0.51099,5.22095
2014-01-01,0.31205,11.56216
2015-01-01,0.18962,4.87173
2016-01-01,0.47183,5.33437
2017-01-01,0.23958,3.93147
2018-01-01,-0.12817,4.75865
2019-01-01,-0.23845,5.89849
2020-01-01,-0.48326,6.87097
2021-01-01,-1.89961,3.39250
2022-01-01,-0.92146,6.62376
