0,1,2,3,4
GEOID2,MOVEDNET,SUMLEV2,state,county
01033,-15,50,28,033
01039,7,50,28,033
01053,1,50,28,033
01059,13,50,28,033
01071,25,50,28,033
01073,7,50,28,033
01089,-30,50,28,033
01091,-35,50,28,033
01097,9,50,28,033
01103,-90,50,28,033
01115,30,50,28,033
04013,-136,50,28,033
05001,-12,50,28,033
05007,76,50,28,033
05023,57,50,28,033
05031,-155,50,28,033
05033,61,50,28,033
05035,59,50,28,033
05041,37,50,28,033
05051,-15,50,28,033
05063,25,50,28,033
05069,19,50,28,033
05085,60,50,28,033
05091,24,50,28,033
05093,149,50,28,033
05107,142,50,28,033
05111,-17,50,28,033
05119,-105,50,28,033
05121,-35,50,28,033
06029,11,50,28,033
06037,139,50,28,033
06053,29,50,28,033
06059,73,50,28,033
06065,-93,50,28,033
06071,-10,50,28,033
06073,-21,50,28,033
06085,-18,50,28,033
06095,-6,50,28,033
06111,17,50,28,033
06113,-21,50,28,033
08011,19,50,28,033
08035,-17,50,28,033
08041,73,50,28,033
12009,16,50,28,033
12023,30,50,28,033
12031,-8,50,28,033
12033,16,50,28,033
12055,22,50,28,033
12057,-46,50,28,033
12086,12,50,28,033
12091,-25,50,28,033
12095,46,50,28,033
12099,31,50,28,033
12103,29,50,28,033
12113,-27,50,28,033
13051,-23,50,28,033
13053,-4,50,28,033
13089,44,50,28,033
13115,-17,50,28,033
13121,1,50,28,033
13151,36,50,28,033
13153,-46,50,28,033
13189,-22,50,28,033
13217,17,50,28,033
13245,-4,50,28,033
17019,-23,50,28,033
17031,-78,50,28,033
17051,-24,50,28,033
17055,-13,50,28,033
17097,-18,50,28,033
17115,-56,50,28,033
17163,-29,50,28,033
17201,48,50,28,033
18035,-115,50,28,033
18057,8,50,28,033
18141,-15,50,28,033
18153,-4,50,28,033
18181,-3,50,28,033
19013,-26,50,28,033
19103,-35,50,28,033
19123,13,50,28,033
20091,13,50,28,033
20113,-77,50,28,033
20115,-1,50,28,033
20173,23,50,28,033
20177,-27,50,28,033
21015,-42,50,28,033
21021,-1,50,28,033
21047,27,50,28,033
21059,51,50,28,033
21083,15,50,28,033
21093,44,50,28,033
21111,64,50,28,033
21145,-16,50,28,033
21235,2,50,28,033
21237,-1,50,28,033
22003,-14,50,28,033
22005,-15,50,28,033
22015,-19,50,28,033
22033,21,50,28,033
22051,14,50,28,033
22059,-4,50,28,033
22071,-8,50,28,033
22083,-15,50,28,033
22109,-11,50,28,033
23019,-10,50,28,033
24003,-42,50,28,033
26091,-15,50,28,033
26099,35,50,28,033
26163,7,50,28,033
27037,19,50,28,033
27053,-37,50,28,033
27145,12,50,28,033
28001,14,50,28,033
28003,62,50,28,033
28009,4,50,28,033
28011,33,50,28,033
28013,51,50,28,033
28017,-26,50,28,033
28021,-17,50,28,033
28023,22,50,28,033
28027,254,50,28,033
28029,-61,50,28,033
28035,55,50,28,033
28041,-5,50,28,033
28043,30,50,28,033
28047,116,50,28,033
28049,33,50,28,033
28055,8,50,28,033
28057,-4,50,28,033
28059,-268,50,28,033
28067,-16,50,28,033
28069,-7,50,28,033
28071,-307,50,28,033
28075,7,50,28,033
28079,-10,50,28,033
28081,77,50,28,033
28083,39,50,28,033
28085,99,50,28,033
28087,5,50,28,033
28089,126,50,28,033
28093,-99,50,28,033
28095,-35,50,28,033
28099,-9,50,28,033
28101,5,50,28,033
28105,-330,50,28,033
28107,78,50,28,033
28111,-14,50,28,033
28113,-2,50,28,033
28117,6,50,28,033
28119,136,50,28,033
28121,-72,50,28,033
28123,12,50,28,033
28125,-9,50,28,033
28127,-4,50,28,033
28131,0,50,28,033
28133,282,50,28,033
28135,66,50,28,033
28137,-162,50,28,033
28139,-43,50,28,033
28141,-13,50,28,033
28143,326,50,28,033
28145,-82,50,28,033
28149,-3,50,28,033
28155,-61,50,28,033
28161,15,50,28,033
28163,29,50,28,033
29059,15,50,28,033
29069,18,50,28,033
29095,-11,50,28,033
29099,9,50,28,033
29141,-26,50,28,033
29147,-4,50,28,033
29169,-17,50,28,033
29175,5,50,28,033
29189,-18,50,28,033
30047,107,50,28,033
31055,-68,50,28,033
31153,-36,50,28,033
32003,-155,50,28,033
35013,155,50,28,033
35049,19,50,28,033
36059,57,50,28,033
36067,-3,50,28,033
36081,-20,50,28,033
36087,-12,50,28,033
36119,-5,50,28,033
37001,-23,50,28,033
37025,-28,50,28,033
37051,19,50,28,033
37071,11,50,28,033
39041,-5,50,28,033
39061,-72,50,28,033
39095,-12,50,28,033
39109,-13,50,28,033
39113,-13,50,28,033
39121,-14,50,28,033
40009,-19,50,28,033
40011,-10,50,28,033
40017,-66,50,28,033
40031,-4,50,28,033
40065,-14,50,28,033
40109,128,50,28,033
40135,8,50,28,033
40145,-10,50,28,033
42017,6,50,28,033
42019,-22,50,28,033
42133,37,50,28,033
45015,-30,50,28,033
45091,-28,50,28,033
46087,-14,50,28,033
46103,-15,50,28,033
47005,-95,50,28,033
47017,50,50,28,033
47019,-4,50,28,033
47035,-195,50,28,033
47037,29,50,28,033
47045,-112,50,28,033
47047,-230,50,28,033
47053,-44,50,28,033
47065,-16,50,28,033
47069,23,50,28,033
47073,46,50,28,033
47075,-18,50,28,033
47083,14,50,28,033
47085,-14,50,28,033
47093,-2,50,28,033
47109,88,50,28,033
47119,-36,50,28,033
47123,-1,50,28,033
47125,19,50,28,033
47149,-77,50,28,033
47157,1499,50,28,033
47167,-101,50,28,033
47177,8,50,28,033
47179,-41,50,28,033
47187,-61,50,28,033
48007,-17,50,28,033
48013,-35,50,28,033
48061,-1,50,28,033
48085,-48,50,28,033
48113,-10,50,28,033
48183,31,50,28,033
48201,-26,50,28,033
48227,-40,50,28,033
48307,-4,50,28,033
48339,-115,50,28,033
48439,-9,50,28,033
48451,-2,50,28,033
48469,45,50,28,033
48485,-15,50,28,033
49011,-17,50,28,033
49017,-2,50,28,033
49035,-22,50,28,033
51041,13,50,28,033
51059,12,50,28,033
53033,-34,50,28,033
53053,-21,50,28,033
53061,-12,50,28,033
54061,-10,50,28,033
55055,4,50,28,033
55111,9,50,28,033
56021,13,50,28,033
56033,17,50,28,033
