0,1,2,3,4
GEOID2,MOVEDNET,SUMLEV2,state,county
01003,-46,50,28,033
01015,-8,50,28,033
01045,-3,50,28,033
01051,-11,50,28,033
01069,-6,50,28,033
01071,-16,50,28,033
01073,-22,50,28,033
01075,13,50,28,033
01077,37,50,28,033
01089,39,50,28,033
01097,20,50,28,033
01103,27,50,28,033
01115,8,50,28,033
02020,8,50,28,033
02110,-10,50,28,033
04013,30,50,28,033
04015,99,50,28,033
04019,-31,50,28,033
04021,-25,50,28,033
05005,-2,50,28,033
05011,-3,50,28,033
05031,22,50,28,033
05035,32,50,28,033
05037,-52,50,28,033
05045,-9,50,28,033
05051,14,50,28,033
05055,2,50,28,033
05063,-2,50,28,033
05069,31,50,28,033
05071,-16,50,28,033
05077,-6,50,28,033
05091,-6,50,28,033
05093,8,50,28,033
05119,-14,50,28,033
05123,111,50,28,033
05125,23,50,28,033
05131,34,50,28,033
05135,-14,50,28,033
05143,-1,50,28,033
05145,-14,50,28,033
05147,-1,50,28,033
06001,-25,50,28,033
06037,-46,50,28,033
06073,-7,50,28,033
08001,-43,50,28,033
08031,19,50,28,033
08077,-37,50,28,033
09009,22,50,28,033
11001,16,50,28,033
12015,15,50,28,033
12033,-7,50,28,033
12039,18,50,28,033
12073,28,50,28,033
12086,14,50,28,033
12087,61,50,28,033
12091,45,50,28,033
12101,-24,50,28,033
12105,1,50,28,033
12117,-27,50,28,033
12127,1,50,28,033
13051,-13,50,28,033
13067,-39,50,28,033
13077,-12,50,28,033
13089,53,50,28,033
13121,59,50,28,033
13131,1,50,28,033
13185,7,50,28,033
13189,89,50,28,033
13219,-8,50,28,033
13273,125,50,28,033
13311,11,50,28,033
15003,10,50,28,033
16001,-33,50,28,033
17015,-13,50,28,033
17019,24,50,28,033
17029,8,50,28,033
17031,16,50,28,033
17095,13,50,28,033
17097,-43,50,28,033
17115,9,50,28,033
17119,-8,50,28,033
17167,17,50,28,033
17197,6,50,28,033
18009,-7,50,28,033
18029,-13,50,28,033
18063,-11,50,28,033
18091,25,50,28,033
18157,-4,50,28,033
20091,-72,50,28,033
21035,-12,50,28,033
21075,-1,50,28,033
22033,-149,50,28,033
22051,-33,50,28,033
22071,-18,50,28,033
22101,-16,50,28,033
22105,-57,50,28,033
22109,-120,50,28,033
23005,36,50,28,033
24031,-41,50,28,033
24039,-15,50,28,033
25017,-13,50,28,033
26063,-5,50,28,033
26163,-20,50,28,033
27015,-3,50,28,033
27055,-7,50,28,033
27139,10,50,28,033
27145,6,50,28,033
27147,-72,50,28,033
28001,57,50,28,033
28003,-37,50,28,033
28007,38,50,28,033
