0,1,2,3,4
GEOID2,MOVEDNET,SUMLEV2,state,county
01003,-55,50,28,033
01015,-7,50,28,033
01033,-18,50,28,033
01039,5,50,28,033
01045,-2,50,28,033
01051,-20,50,28,033
01069,-7,50,28,033
01071,21,50,28,033
01073,-15,50,28,033
01089,20,50,28,033
01097,29,50,28,033
01103,27,50,28,033
01115,36,50,28,033
02020,7,50,28,033
02110,-7,50,28,033
04015,89,50,28,033
04019,-30,50,28,033
04021,-36,50,28,033
05007,111,50,28,033
05031,-311,50,28,033
05033,50,50,28,033
05035,62,50,28,033
05045,-4,50,28,033
05051,15,50,28,033
05055,2,50,28,033
05069,28,50,28,033
05077,-4,50,28,033
05085,104,50,28,033
05093,-17,50,28,033
05107,14,50,28,033
05111,-7,50,28,033
05119,7,50,28,033
05123,-4,50,28,033
05125,27,50,28,033
05147,-1,50,28,033
06029,15,50,28,033
06037,-44,50,28,033
06059,83,50,28,033
06073,49,50,28,033
06111,40,50,28,033
08001,-40,50,28,033
08011,17,50,28,033
08035,-38,50,28,033
08041,-9,50,28,033
12023,28,50,28,033
12033,-4,50,28,033
12039,19,50,28,033
12057,-9,50,28,033
12073,35,50,28,033
12086,31,50,28,033
12087,38,50,28,033
12091,-26,50,28,033
12095,31,50,28,033
12099,47,50,28,033
12101,-17,50,28,033
12103,15,50,28,033
12113,-33,50,28,033
12127,1,50,28,033
13051,-74,50,28,033
13067,-55,50,28,033
13077,-10,50,28,033
13089,20,50,28,033
13121,40,50,28,033
13131,2,50,28,033
13151,136,50,28,033
13153,-18,50,28,033
13185,6,50,28,033
13189,90,50,28,033
13217,19,50,28,033
13245,-7,50,28,033
15003,31,50,28,033
16001,-3,50,28,033
17015,-9,50,28,033
17019,29,50,28,033
17031,-178,50,28,033
17095,12,50,28,033
17097,-86,50,28,033
17115,-30,50,28,033
17197,7,50,28,033
17201,9,50,28,033
18009,-1,50,28,033
18035,-81,50,28,033
18057,7,50,28,033
18091,46,50,28,033
18157,-7,50,28,033
19013,-27,50,28,033
19123,8,50,28,033
20113,-72,50,28,033
20115,-2,50,28,033
21015,-28,50,28,033
21021,-1,50,28,033
21047,-5,50,28,033
21075,-1,50,28,033
21111,67,50,28,033
21237,-2,50,28,033
22033,-91,50,28,033
22051,-50,50,28,033
22059,-6,50,28,033
22071,-24,50,28,033
22083,-7,50,28,033
23005,33,50,28,033
23019,-12,50,28,033
24031,-37,50,28,033
25017,-11,50,28,033
26063,-6,50,28,033
26099,8,50,28,033
26163,12,50,28,033
27037,20,50,28,033
27055,-10,50,28,033
28001,17,50,28,033
28003,-15,50,28,033
28007,32,50,28,033
28009,34,50,28,033
28011,-32,50,28,033
28017,-16,50,28,033
28021,-8,50,28,033
28023,8,50,28,033
28025,20,50,28,033
28027,97,50,28,033
28029,-3,50,28,033
28035,32,50,28,033
28041,-1,50,28,033
28045,-10,50,28,033
28047,-4,50,28,033
28049,42,50,28,033
28057,79,50,28,033
28059,-332,50,28,033
28067,-9,50,28,033
28071,234,50,28,033
28073,6,50,28,033
28075,-4,50,28,033
28079,-2,50,28,033
28081,64,50,28,033
28083,34,50,28,033
28085,48,50,28,033
28089,42,50,28,033
28091,-7,50,28,033
28093,596,50,28,033
28095,43,50,28,033
28101,-6,50,28,033
28105,-337,50,28,033
28107,7,50,28,033
28109,-22,50,28,033
28111,-8,50,28,033
28113,13,50,28,033
28117,-22,50,28,033
28119,118,50,28,033
28121,27,50,28,033
28123,19,50,28,033
28125,32,50,28,033
28131,0,50,28,033
28133,314,50,28,033
28135,57,50,28,033
28137,191,50,28,033
28139,-15,50,28,033
28141,-19,50,28,033
28143,-17,50,28,033
28145,-77,50,28,033
28149,-3,50,28,033
28151,56,50,28,033
28161,27,50,28,033
29019,73,50,28,033
29059,19,50,28,033
29069,-14,50,28,033
29077,-11,50,28,033
29099,-136,50,28,033
29101,-4,50,28,033
29169,-43,50,28,033
29189,12,50,28,033
30013,23,50,28,033
30029,53,50,28,033
31055,-46,50,28,033
31109,-17,50,28,033
31153,-3,50,28,033
32003,-61,50,28,033
35001,14,50,28,033
35013,111,50,28,033
36059,40,50,28,033
36067,-4,50,28,033
36081,-15,50,28,033
36087,-14,50,28,033
36119,-7,50,28,033
37025,-27,50,28,033
37051,-5,50,28,033
37129,-61,50,28,033
37191,28,50,28,033
38101,-13,50,28,033
39041,-5,50,28,033
39049,16,50,28,033
39061,-57,50,28,033
39095,-9,50,28,033
39113,-21,50,28,033
