0,1,2,3,4
GEOID2,MOVEDNET,SUMLEV2,state,county
01033,-23,50,28,033
01039,4,50,28,033
01045,-1,50,28,033
01053,2,50,28,033
01059,16,50,28,033
01071,16,50,28,033
01073,-27,50,28,033
01089,26,50,28,033
01097,10,50,28,033
01103,25,50,28,033
01115,31,50,28,033
02020,7,50,28,033
02110,-7,50,28,033
04015,91,50,28,033
04019,-25,50,28,033
04021,-27,50,28,033
05007,82,50,28,033
05023,6,50,28,033
05031,-240,50,28,033
05033,49,50,28,033
05035,42,50,28,033
05051,-1,50,28,033
05055,2,50,28,033
05069,29,50,28,033
05077,-4,50,28,033
05085,84,50,28,033
05093,84,50,28,033
05107,196,50,28,033
05111,-17,50,28,033
05119,7,50,28,033
05123,-7,50,28,033
05125,27,50,28,033
05147,-1,50,28,033
06029,15,50,28,033
06037,104,50,28,033
06059,84,50,28,033
06071,-15,50,28,033
06073,83,50,28,033
06085,-7,50,28,033
06111,32,50,28,033
06113,-24,50,28,033
08011,17,50,28,033
08035,-26,50,28,033
08041,-12,50,28,033
12023,37,50,28,033
12033,-54,50,28,033
12039,17,50,28,033
12057,-10,50,28,033
12086,38,50,28,033
12087,37,50,28,033
12091,-26,50,28,033
12095,34,50,28,033
12099,40,50,28,033
12101,-18,50,28,033
12103,11,50,28,033
12113,-33,50,28,033
12127,2,50,28,033
13051,-46,50,28,033
13067,-58,50,28,033
13089,3,50,28,033
13115,-16,50,28,033
13121,19,50,28,033
13131,1,50,28,033
13151,118,50,28,033
13153,-16,50,28,033
13185,5,50,28,033
13189,52,50,28,033
13217,20,50,28,033
13245,-4,50,28,033
15003,47,50,28,033
16001,-6,50,28,033
17015,-6,50,28,033
17019,25,50,28,033
17031,-115,50,28,033
17051,-15,50,28,033
17095,8,50,28,033
17115,-40,50,28,033
17197,12,50,28,033
17201,8,50,28,033
18009,-5,50,28,033
18035,-80,50,28,033
18057,8,50,28,033
18157,-6,50,28,033
19013,-39,50,28,033
19123,9,50,28,033
20091,15,50,28,033
20113,-79,50,28,033
20115,-2,50,28,033
21015,-32,50,28,033
21021,-1,50,28,033
21047,-1,50,28,033
21075,-1,50,28,033
21111,68,50,28,033
21237,-1,50,28,033
22033,-95,50,28,033
22051,-13,50,28,033
22059,-5,50,28,033
22071,-23,50,28,033
22083,-9,50,28,033
23005,37,50,28,033
23019,-12,50,28,033
24003,-30,50,28,033
24031,-27,50,28,033
26091,-25,50,28,033
26099,10,50,28,033
26163,-15,50,28,033
27037,25,50,28,033
27055,-12,50,28,033
28001,11,50,28,033
28003,21,50,28,033
28009,38,50,28,033
28011,-58,50,28,033
28013,77,50,28,033
28017,-18,50,28,033
28021,-8,50,28,033
28023,10,50,28,033
28025,17,50,28,033
28027,86,50,28,033
28029,-18,50,28,033
28035,42,50,28,033
28041,0,50,28,033
28045,-13,50,28,033
28047,195,50,28,033
28049,76,50,28,033
28057,-10,50,28,033
28059,-331,50,28,033
28067,-17,50,28,033
28069,-17,50,28,033
28071,51,50,28,033
28073,5,50,28,033
28075,3,50,28,033
28079,-2,50,28,033
28081,72,50,28,033
28083,51,50,28,033
28085,48,50,28,033
28089,10,50,28,033
28093,538,50,28,033
28095,47,50,28,033
28101,-4,50,28,033
28105,-338,50,28,033
28107,1,50,28,033
28109,-16,50,28,033
28113,13,50,28,033
28117,-40,50,28,033
28119,125,50,28,033
28121,8,50,28,033
28123,17,50,28,033
28125,-9,50,28,033
28131,1,50,28,033
28133,269,50,28,033
28135,53,50,28,033
28137,139,50,28,033
28139,-21,50,28,033
28141,18,50,28,033
28143,-21,50,28,033
28145,-125,50,28,033
28149,-3,50,28,033
28151,57,50,28,033
28155,-64,50,28,033
28161,19,50,28,033
28163,54,50,28,033
29019,65,50,28,033
29059,19,50,28,033
29069,16,50,28,033
29095,-11,50,28,033
29099,6,50,28,033
29101,-4,50,28,033
29169,-24,50,28,033
29189,-14,50,28,033
30013,32,50,28,033
30029,69,50,28,033
31055,-65,50,28,033
31153,-4,50,28,033
32003,-159,50,28,033
35013,154,50,28,033
35049,29,50,28,033
36059,40,50,28,033
36067,-4,50,28,033
36081,-17,50,28,033
36087,-14,50,28,033
36119,-4,50,28,033
37025,-28,50,28,033
37051,9,50,28,033
37129,-57,50,28,033
37191,42,50,28,033
38101,-9,50,28,033
39041,-6,50,28,033
39049,13,50,28,033
39061,-72,50,28,033
39095,-7,50,28,033
39113,-17,50,28,033
39121,-9,50,28,033
39153,49,50,28,033
40009,-11,50,28,033
40011,-6,50,28,033
40017,-67,50,28,033
40065,-8,50,28,033
40135,9,50,28,033
40143,13,50,28,033
40145,-10,50,28,033
42017,22,50,28,033
42019,-18,50,28,033
45015,-16,50,28,033
45045,-22,50,28,033
45079,-25,50,28,033
45091,-36,50,28,033
46087,-12,50,28,033
46103,-13,50,28,033
47035,-199,50,28,033
47037,-44,50,28,033
47045,-112,50,28,033
47047,-202,50,28,033
47057,-3,50,28,033
47065,3,50,28,033
47075,-4,50,28,033
47083,26,50,28,033
47109,1,50,28,033
47119,-32,50,28,033
47123,-1,50,28,033
47125,11,50,28,033
47149,-92,50,28,033
47155,-183,50,28,033
47157,624,50,28,033
47163,5,50,28,033
47165,7,50,28,033
47167,176,50,28,033
47177,6,50,28,033
47179,-58,50,28,033
47187,-58,50,28,033
48007,-23,50,28,033
48013,-32,50,28,033
48061,-1,50,28,033
48085,10,50,28,033
48113,27,50,28,033
48141,123,50,28,033
48183,27,50,28,033
48201,-129,50,28,033
48203,-4,50,28,033
48209,14,50,28,033
48227,-37,50,28,033
48307,-4,50,28,033
48339,-28,50,28,033
48439,-3,50,28,033
48451,-1,50,28,033
48469,28,50,28,033
49011,-19,50,28,033
48485,-9,50,28,033
49017,-2,50,28,033
49035,-15,50,28,033
51059,11,50,28,033
51067,-42,50,28,033
51153,2,50,28,033
53009,-31,50,28,033
53053,-11,50,28,033
53061,-12,50,28,033
55055,5,50,28,033
55111,9,50,28,033
55133,19,50,28,033
56021,5,50,28,033
56033,9,50,28,033
72061,-18,50,28,033
