0,1,2,3,4
GEOID2,MOVEDNET,SUMLEV2,state,county
01003,-49,50,28,033
01015,-9,50,28,033
01051,-12,50,28,033
01069,-7,50,28,033
01071,-21,50,28,033
01075,26,50,28,033
01077,66,50,28,033
01083,-2,50,28,033
01097,16,50,28,033
01115,7,50,28,033
04013,27,50,28,033
05001,34,50,28,033
05005,-5,50,28,033
05007,-4,50,28,033
05011,-1,50,28,033
05027,-16,50,28,033
05031,3,50,28,033
05035,-16,50,28,033
05037,-54,50,28,033
05045,11,50,28,033
05051,-86,50,28,033
05055,21,50,28,033
05063,-1,50,28,033
05065,-34,50,28,033
05069,-8,50,28,033
05071,-19,50,28,033
05077,-2,50,28,033
05079,12,50,28,033
05091,-7,50,28,033
05093,23,50,28,033
05119,-87,50,28,033
05123,120,50,28,033
05131,31,50,28,033
05135,-5,50,28,033
05143,-1,50,28,033
05145,3,50,28,033
06001,-24,50,28,033
06037,-18,50,28,033
06071,63,50,28,033
08001,-42,50,28,033
08031,25,50,28,033
08041,27,50,28,033
08077,-34,50,28,033
09009,23,50,28,033
10003,-34,50,28,033
11001,23,50,28,033
12005,-7,50,28,033
12015,23,50,28,033
12073,35,50,28,033
12091,49,50,28,033
12099,-5,50,28,033
12101,-16,50,28,033
12105,2,50,28,033
12117,-126,50,28,033
13051,-11,50,28,033
13063,33,50,28,033
13077,-16,50,28,033
13089,57,50,28,033
13121,4,50,28,033
13137,-19,50,28,033
13157,-4,50,28,033
13219,-15,50,28,033
13273,341,50,28,033
13311,11,50,28,033
17007,31,50,28,033
17029,9,50,28,033
17031,24,50,28,033
17067,-18,50,28,033
17097,-23,50,28,033
17119,-15,50,28,033
17167,19,50,28,033
18029,-14,50,28,033
18057,23,50,28,033
18063,-10,50,28,033
18089,-7,50,28,033
18091,65,50,28,033
19057,6,50,28,033
19163,-84,50,28,033
20091,-97,50,28,033
20099,-44,50,28,033
20111,-9,50,28,033
21035,-24,50,28,033
21111,32,50,28,033
22033,-60,50,28,033
22051,-10,50,28,033
22063,8,50,28,033
22101,-12,50,28,033
22103,19,50,28,033
22105,-67,50,28,033
22109,-131,50,28,033
24015,4,50,28,033
24039,-10,50,28,033
25017,-15,50,28,033
26063,-5,50,28,033
26077,-42,50,28,033
26163,-50,50,28,033
27015,-3,50,28,033
27139,8,50,28,033
27145,4,50,28,033
27147,-71,50,28,033
28001,78,50,28,033
28003,-34,50,28,033
28007,49,50,28,033
28009,95,50,28,033
28011,-3,50,28,033
28013,10,50,28,033
28017,-16,50,28,033
28019,-1,50,28,033
28023,-6,50,28,033
28027,261,50,28,033
28029,15,50,28,033
28035,-172,50,28,033
28041,-4,50,28,033
28043,74,50,28,033
28045,-121,50,28,033
28047,32,50,28,033
28049,-127,50,28,033
28051,-9,50,28,033
28055,-2,50,28,033
28057,55,50,28,033
28059,-46,50,28,033
28067,-18,50,28,033
28069,-8,50,28,033
28071,-78,50,28,033
28073,-72,50,28,033
28075,30,50,28,033
28081,147,50,28,033
28083,215,50,28,033
28085,-28,50,28,033
28087,-5,50,28,033
28089,-1,50,28,033
28091,-9,50,28,033
28093,-331,50,28,033
28095,69,50,28,033
28105,-118,50,28,033
28107,-81,50,28,033
28109,-11,50,28,033
28111,-7,50,28,033
28113,6,50,28,033
28115,3,50,28,033
28119,77,50,28,033
28121,48,50,28,033
28125,43,50,28,033
28127,-12,50,28,033
28133,-23,50,28,033
28135,-24,50,28,033
28137,-171,50,28,033
28139,-3,50,28,033
28141,-12,50,28,033
28143,232,50,28,033
28145,-6,50,28,033
28147,-1,50,28,033
28149,-2,50,28,033
28151,2,50,28,033
28159,95,50,28,033
28161,-12,50,28,033
28163,-4,50,28,033
29023,-4,50,28,033
29037,182,50,28,033
29073,61,50,28,033
29077,-8,50,28,033
29097,-46,50,28,033
29099,-200,50,28,033
29141,57,50,28,033
29155,8,50,28,033
29157,-11,50,28,033
29159,-3,50,28,033
29169,-65,50,28,033
29183,-78,50,28,033
29189,-40,50,28,033
29510,54,50,28,033
31055,-16,50,28,033
31109,-27,50,28,033
31119,151,50,28,033
32003,22,50,28,033
32005,58,50,28,033
34003,320,50,28,033
34005,-18,50,28,033
34017,-6,50,28,033
35001,17,50,28,033
36047,-10,50,28,033
36053,25,50,28,033
36061,-9,50,28,033
36081,11,50,28,033
36091,47,50,28,033
36119,4,50,28,033
37049,7,50,28,033
37051,-9,50,28,033
37109,-12,50,28,033
37151,-7,50,28,033
39153,-52,50,28,033
39173,18,50,28,033
40027,-54,50,28,033
40031,-14,50,28,033
40109,-11,50,28,033
40143,-18,50,28,033
41017,28,50,28,033
42045,-28,50,28,033
42053,4,50,28,033
42055,11,50,28,033
44005,-10,50,28,033
45013,110,50,28,033
45063,-34,50,28,033
45079,-3,50,28,033
47001,-2,50,28,033
47011,-2,50,28,033
47037,-52,50,28,033
47047,18,50,28,033
47055,-14,50,28,033
47065,-52,50,28,033
47079,-1,50,28,033
47093,-6,50,28,033
47097,-6,50,28,033
47117,-1,50,28,033
47119,-1,50,28,033
47131,-6,50,28,033
47149,-51,50,28,033
47157,1264,50,28,033
47165,-26,50,28,033
47167,106,50,28,033
47179,-12,50,28,033
47187,-152,50,28,033
47189,-24,50,28,033
48001,24,50,28,033
48029,-10,50,28,033
48085,-17,50,28,033
48113,-16,50,28,033
48157,58,50,28,033
48181,-14,50,28,033
48201,-16,50,28,033
48277,12,50,28,033
48329,74,50,28,033
48423,-20,50,28,033
48439,39,50,28,033
48451,-49,50,28,033
48453,59,50,28,033
48491,69,50,28,033
49003,-5,50,28,033
49035,-39,50,28,033
49049,-6,50,28,033
51013,-26,50,28,033
51177,-19,50,28,033
51179,52,50,28,033
51550,50,50,28,033
51650,-4,50,28,033
51680,-25,50,28,033
51710,-9,50,28,033
53017,73,50,28,033
53033,-15,50,28,033
53061,-24,50,28,033
54055,70,50,28,033
54079,61,50,28,033
55005,28,50,28,033
55009,-16,50,28,033
55101,78,50,28,033
