0,1,2,3,4,5,6,7
FULL2_NAME,GEOID2,MOVEDIN,MOVEDOUT,MOVEDNET,SUMLEV2,state,county
"Jackson County, Alabama",01071,0,13,-13,50,28,033
"Lamar County, Alabama",01075,30,0,30,50,28,033
"Lauderdale County, Alabama",01077,59,0,59,50,28,033
"Limestone County, Alabama",01083,0,5,-5,50,28,033
"Mobile County, Alabama",01097,11,0,11,50,28,033
"St. Clair County, Alabama",01115,9,0,9,50,28,033
"Maricopa County, Arizona",04013,46,12,34,50,28,033
"Arkansas County, Arkansas",05001,13,0,13,50,28,033
"Baxter County, Arkansas",05005,0,4,-4,50,28,033
"Benton County, Arkansas",05007,0,5,-5,50,28,033
"Bradley County, Arkansas",05011,0,1,-1,50,28,033
"Columbia County, Arkansas",05027,0,17,-17,50,28,033
"Craighead County, Arkansas",05031,56,31,25,50,28,033
"Crittenden County, Arkansas",05035,81,14,67,50,28,033
"Cross County, Arkansas",05037,0,54,-54,50,28,033
"Drew County, Arkansas",05043,0,14,-14,50,28,033
"Faulkner County, Arkansas",05045,14,31,-17,50,28,033
"Garland County, Arkansas",05051,0,80,-80,50,28,033
"Greene County, Arkansas",05055,14,0,14,50,28,033
"Independence County, Arkansas",05063,0,2,-2,50,28,033
"Izard County, Arkansas",05065,0,34,-34,50,28,033
"Jefferson County, Arkansas",05069,0,7,-7,50,28,033
"Johnson County, Arkansas",05071,0,15,-15,50,28,033
"Lee County, Arkansas",05077,0,1,-1,50,28,033
"Lincoln County, Arkansas",05079,15,0,15,50,28,033
"Miller County, Arkansas",05091,0,6,-6,50,28,033
"Mississippi County, Arkansas",05093,20,0,20,50,28,033
"Pulaski County, Arkansas",05119,0,100,-100,50,28,033
"St. Francis County, Arkansas",05123,97,0,97,50,28,033
"Sebastian County, Arkansas",05131,44,1,43,50,28,033
"Sharp County, Arkansas",05135,51,48,3,50,28,033
"Washington County, Arkansas",05143,0,1,-1,50,28,033
"White County, Arkansas",05145,19,16,3,50,28,033
"Alameda County, California",06001,0,30,-30,50,28,033
"Los Angeles County, California",06037,0,12,-12,50,28,033
"San Bernardino County, California",06071,93,0,93,50,28,033
"Denver County, Colorado",08031,23,0,23,50,28,033
"El Paso County, Colorado",08041,43,0,43,50,28,033
"Mesa County, Colorado",08077,0,50,-50,50,28,033
"New Haven County, Connecticut",09009,38,0,38,50,28,033
"New Castle County, Delaware",10003,0,37,-37,50,28,033
"District of Columbia, District of Columbia",11001,18,0,18,50,28,033
"Bay County, Florida",12005,0,20,-20,50,28,033
"Charlotte County, Florida",12015,29,0,29,50,28,033
"Miami-Dade County, Florida",12086,12,0,12,50,28,033
"Okaloosa County, Florida",12091,41,0,41,50,28,033
"Palm Beach County, Florida",12099,15,23,-8,50,28,033
"Pasco County, Florida",12101,0,15,-15,50,28,033
"Polk County, Florida",12105,3,0,3,50,28,033
"Seminole County, Florida",12117,0,106,-106,50,28,033
"Clayton County, Georgia",13063,34,0,34,50,28,033
"DeKalb County, Georgia",13089,34,0,34,50,28,033
"Habersham County, Georgia",13137,0,13,-13,50,28,033
"Jackson County, Georgia",13157,0,6,-6,50,28,033
"Oconee County, Georgia",13219,0,19,-19,50,28,033
"Terrell County, Georgia",13273,194,0,194,50,28,033
"White County, Georgia",13311,10,0,10,50,28,033
"Boone County, Illinois",17007,16,0,16,50,28,033
"Clinton County, Illinois",17027,0,34,-34,50,28,033
"Coles County, Illinois",17029,5,0,5,50,28,033
"Cook County, Illinois",17031,19,0,19,50,28,033
"Hancock County, Illinois",17067,0,16,-16,50,28,033
"Madison County, Illinois",17119,0,42,-42,50,28,033
"Sangamon County, Illinois",17167,12,0,12,50,28,033
"Dearborn County, Indiana",18029,0,13,-13,50,28,033
