0,1,2,3,4,5,6,7
"Hamilton County, Indiana",18057,24,0,24,50,28,033
"Hendricks County, Indiana",18063,0,11,-11,50,28,033
"Lake County, Indiana",18089,0,8,-8,50,28,033
"Des Moines County, Iowa",19057,10,0,10,50,28,033
"Scott County, Iowa",19163,0,82,-82,50,28,033
"Johnson County, Kansas",20091,0,55,-55,50,28,033
"Labette County, Kansas",20099,0,41,-41,50,28,033
"Lyon County, Kansas",20111,0,8,-8,50,28,033
"Boyd County, Kentucky",21019,10,0,10,50,28,033
"Calloway County, Kentucky",21035,0,20,-20,50,28,033
"Jefferson County, Kentucky",21111,27,0,27,50,28,033
"East Baton Rouge Parish, Louisiana",22033,0,17,-17,50,28,033
"Jefferson Parish, Louisiana",22051,8,0,8,50,28,033
"Livingston Parish, Louisiana",22063,9,0,9,50,28,033
"St. Mary Parish, Louisiana",22101,0,12,-12,50,28,033
"St. Tammany Parish, Louisiana",22103,17,0,17,50,28,033
"Tangipahoa Parish, Louisiana",22105,0,54,-54,50,28,033
"Terrebonne Parish, Louisiana",22109,0,119,-119,50,28,033
"Cecil County, Maryland",24015,7,0,7,50,28,033
"Somerset County, Maryland",24039,0,10,-10,50,28,033
"Genesee County, Michigan",26049,0,1,-1,50,28,033
"Kalamazoo County, Michigan",26077,25,41,-16,50,28,033
"Wayne County, Michigan",26163,0,51,-51,50,28,033
"Brown County, Minnesota",27015,0,3,-3,50,28,033
"Scott County, Minnesota",27139,6,0,6,50,28,033
"Stearns County, Minnesota",27145,6,0,6,50,28,033
"Steele County, Minnesota",27147,0,67,-67,50,28,033
"Adams County, Mississippi",28001,93,3,90,50,28,033
"Alcorn County, Mississippi",28003,0,3,-3,50,28,033
"Benton County, Mississippi",28009,98,3,95,50,28,033
"Bolivar County, Mississippi",28011,52,95,-43,50,28,033
"Calhoun County, Mississippi",28013,9,0,9,50,28,033
"Chickasaw County, Mississippi",28017,8,27,-19,50,28,033
"Choctaw County, Mississippi",28019,0,1,-1,50,28,033
"Clarke County, Mississippi",28023,0,6,-6,50,28,033
"Coahoma County, Mississippi",28027,225,8,217,50,28,033
"Copiah County, Mississippi",28029,27,3,24,50,28,033
"Forrest County, Mississippi",28035,0,151,-151,50,28,033
"Greene County, Mississippi",28041,0,5,-5,50,28,033
"Grenada County, Mississippi",28043,80,3,77,50,28,033
"Hancock County, Mississippi",28045,0,111,-111,50,28,033
"Harrison County, Mississippi",28047,102,222,-120,50,28,033
"Hinds County, Mississippi",28049,45,193,-148,50,28,033
"Holmes County, Mississippi",28051,0,9,-9,50,28,033
"Issaquena County, Mississippi",28055,0,2,-2,50,28,033
"Itawamba County, Mississippi",28057,0,16,-16,50,28,033
"Jackson County, Mississippi",28059,0,49,-49,50,28,033
"Jones County, Mississippi",28067,0,24,-24,50,28,033
"Kemper County, Mississippi",28069,0,9,-9,50,28,033
"Lafayette County, Mississippi",28071,95,176,-81,50,28,033
"Lamar County, Mississippi",28073,0,298,-298,50,28,033
"Lauderdale County, Mississippi",28075,35,8,27,50,28,033
"Lee County, Mississippi",28081,109,32,77,50,28,033
"Leflore County, Mississippi",28083,200,0,200,50,28,033
"Lincoln County, Mississippi",28085,0,16,-16,50,28,033
"Lowndes County, Mississippi",28087,21,4,17,50,28,033
"Madison County, Mississippi",28089,4,7,-3,50,28,033
"Marshall County, Mississippi",28093,201,941,-740,50,28,033
"Monroe County, Mississippi",28095,51,3,48,50,28,033
"Oktibbeha County, Mississippi",28105,125,173,-48,50,28,033
"Panola County, Mississippi",28107,0,102,-102,50,28,033
"Pearl River County, Mississippi",28109,0,8,-8,50,28,033
"Pike County, Mississippi",28113,9,5,4,50,28,033
"Pontotoc County, Mississippi",28115,26,9,17,50,28,033
"Quitman County, Mississippi",28119,184,4,180,50,28,033
"Rankin County, Mississippi",28121,85,24,61,50,28,033
"Simpson County, Mississippi",28127,0,18,-18,50,28,033
"Sunflower County, Mississippi",28133,18,35,-17,50,28,033
"Tallahatchie County, Mississippi",28135,62,53,9,50,28,033
"Tate County, Mississippi",28137,463,687,-224,50,28,033
"Tippah County, Mississippi",28139,41,35,6,50,28,033
"Tishomingo County, Mississippi",28141,0,6,-6,50,28,033
"Tunica County, Mississippi",28143,323,83,240,50,28,033
"Union County, Mississippi",28145,0,6,-6,50,28,033
"Walthall County, Mississippi",28147,0,1,-1,50,28,033
"Warren County, Mississippi",28149,0,2,-2,50,28,033
"Washington County, Mississippi",28151,40,38,2,50,28,033
"Winston County, Mississippi",28159,52,15,37,50,28,033
"Yalobusha County, Mississippi",28161,13,7,6,50,28,033
"Yazoo County, Mississippi",28163,0,5,-5,50,28,033
"Butler County, Missouri",29023,0,5,-5,50,28,033
"Cass County, Missouri",29037,64,0,64,50,28,033
"Gasconade County, Missouri",29073,57,0,57,50,28,033
"Jasper County, Missouri",29097,0,58,-58,50,28,033
"Morgan County, Missouri",29141,48,0,48,50,28,033
"Pemiscot County, Missouri",29155,10,0,10,50,28,033
"Perry County, Missouri",29157,0,10,-10,50,28,033
"Pettis County, Missouri",29159,0,3,-3,50,28,033
"Pulaski County, Missouri",29169,0,62,-62,50,28,033
"St. Charles County, Missouri",29183,0,86,-86,50,28,033
"St. Louis County, Missouri",29189,0,26,-26,50,28,033
"St. Louis City, Missouri",29510,62,0,62,50,28,033
"Madison County, Nebraska",31119,138,0,138,50,28,033
"Sheridan County, Nebraska",31161,0,1,-1,50,28,033
"Clark County, Nevada",32003,21,0,21,50,28,033
"Douglas County, Nevada",32005,53,0,53,50,28,033
"Bergen County, New Jersey",34003,347,0,347,50,28,033
"Burlington County, New Jersey",34005,0,15,-15,50,28,033
"Hudson County, New Jersey",34017,0,6,-6,50,28,033
"Kings County, New York",36047,0,10,-10,50,28,033
"Madison County, New York",36053,48,0,48,50,28,033
"New York County, New York",36061,0,10,-10,50,28,033
"Queens County, New York",36081,11,0,11,50,28,033
"Saratoga County, New York",36091,32,0,32,50,28,033
"Westchester County, New York",36119,15,0,15,50,28,033
"Craven County, North Carolina",37049,7,0,7,50,28,033
"Lincoln County, North Carolina",37109,0,12,-12,50,28,033
"Randolph County, North Carolina",37151,0,7,-7,50,28,033
"Summit County, Ohio",39153,0,60,-60,50,28,033
"Wood County, Ohio",39173,17,0,17,50,28,033
"Oklahoma County, Oklahoma",40109,0,14,-14,50,28,033
"Tulsa County, Oklahoma",40143,0,20,-20,50,28,033
"Deschutes County, Oregon",41017,25,0,25,50,28,033
"Delaware County, Pennsylvania",42045,0,55,-55,50,28,033
"Franklin County, Pennsylvania",42055,11,0,11,50,28,033
"Newport County, Rhode Island",44005,0,9,-9,50,28,033
"Beaufort County, South Carolina",45013,139,0,139,50,28,033
"Horry County, South Carolina",45051,18,0,18,50,28,033
"Lexington County, South Carolina",45063,0,25,-25,50,28,033
"Richland County, South Carolina",45079,0,3,-3,50,28,033
"Anderson County, Tennessee",47001,0,1,-1,50,28,033
"Bradley County, Tennessee",47011,0,2,-2,50,28,033
"Carroll County, Tennessee",47017,30,0,30,50,28,033
"Crockett County, Tennessee",47033,0,7,-7,50,28,033
"Davidson County, Tennessee",47037,54,463,-409,50,28,033
"Fayette County, Tennessee",47047,17,49,-32,50,28,033
"Giles County, Tennessee",47055,0,15,-15,50,28,033
"Hamilton County, Tennessee",47065,0,32,-32,50,28,033
"Hardeman County, Tennessee",47069,0,27,-27,50,28,033
"Henry County, Tennessee",47079,0,10,-10,50,28,033
"Lauderdale County, Tennessee",47097,0,5,-5,50,28,033
"Lawrence County, Tennessee",47099,0,22,-22,50,28,033
"Marshall County, Tennessee",47117,0,1,-1,50,28,033
"Maury County, Tennessee",47119,0,2,-2,50,28,033
"Obion County, Tennessee",47131,0,6,-6,50,28,033
"Rutherford County, Tennessee",47149,0,60,-60,50,28,033
"Shelby County, Tennessee",47157,3849,2448,1401,50,28,033
"Sumner County, Tennessee",47165,0,36,-36,50,28,033
"Tipton County, Tennessee",47167,71,12,59,50,28,033
"Washington County, Tennessee",47179,0,11,-11,50,28,033
"Williamson County, Tennessee",47187,0,139,-139,50,28,033
"Wilson County, Tennessee",47189,0,22,-22,50,28,033
"Anderson County, Texas",48001,23,0,23,50,28,033
"Collin County, Texas",48085,1,20,-19,50,28,033
"Dallas County, Texas",48113,1,16,-15,50,28,033
"Fort Bend County, Texas",48157,65,0,65,50,28,033
"Grayson County, Texas",48181,0,12,-12,50,28,033
"Harris County, Texas",48201,4,14,-10,50,28,033
"Hays County, Texas",48209,233,0,233,50,28,033
"Midland County, Texas",48329,60,0,60,50,28,033
"Smith County, Texas",48423,0,16,-16,50,28,033
"Tarrant County, Texas",48439,18,0,18,50,28,033
"Tom Green County, Texas",48451,0,55,-55,50,28,033
"Travis County, Texas",48453,0,16,-16,50,28,033
"Williamson County, Texas",48491,130,46,84,50,28,033
"Box Elder County, Utah",49003,0,7,-7,50,28,033
"Salt Lake County, Utah",49035,0,46,-46,50,28,033
"Utah County, Utah",49049,0,7,-7,50,28,033
"Arlington County, Virginia",51013,0,35,-35,50,28,033
"Spotsylvania County, Virginia",51177,0,20,-20,50,28,033
"Stafford County, Virginia",51179,41,0,41,50,28,033
"Hampton City, Virginia",51650,0,4,-4,50,28,033
"Norfolk City, Virginia",51710,0,8,-8,50,28,033
"King County, Washington",53033,0,9,-9,50,28,033
"Snohomish County, Washington",53061,0,24,-24,50,28,033
"Mercer County, West Virginia",54055,72,0,72,50,28,033
"Putnam County, West Virginia",54079,37,0,37,50,28,033
"Barron County, Wisconsin",55005,28,0,28,50,28,033
"Brown County, Wisconsin",55009,0,8,-8,50,28,033
"Calumet County, Wisconsin",55015,0,5,-5,50,28,033
"Columbia County, Wisconsin",55021,0,3,-3,50,28,033
