0,1,2,3,4
GEOID2,MOVEDNET,SUMLEV2,state,county
01059,11,50,28,033
01073,-24,50,28,033
01089,-49,50,28,033
01091,-22,50,28,033
01097,13,50,28,033
01103,-104,50,28,033
04013,-189,50,28,033
05001,-4,50,28,033
05023,38,50,28,033
05031,43,50,28,033
05035,121,50,28,033
05037,75,50,28,033
05041,41,50,28,033
05045,18,50,28,033
05051,-13,50,28,033
05063,22,50,28,033
05065,-15,50,28,033
05067,55,50,28,033
05069,14,50,28,033
05091,72,50,28,033
05093,137,50,28,033
05107,229,50,28,033
05111,-11,50,28,033
05115,19,50,28,033
05119,-82,50,28,033
05121,-54,50,28,033
06037,115,50,28,033
06041,-16,50,28,033
06053,46,50,28,033
06059,-8,50,28,033
06061,-17,50,28,033
06065,-153,50,28,033
06071,-23,50,28,033
06073,62,50,28,033
06077,41,50,28,033
06085,-18,50,28,033
06095,-13,50,28,033
06113,-17,50,28,033
08013,61,50,28,033
08031,57,50,28,033
08041,74,50,28,033
08123,9,50,28,033
12009,24,50,28,033
12031,-2,50,28,033
12033,1,50,28,033
12055,23,50,28,033
12057,-248,50,28,033
12086,11,50,28,033
12091,16,50,28,033
12099,20,50,28,033
13053,-12,50,28,033
13059,-15,50,28,033
13077,-9,50,28,033
13089,99,50,28,033
13115,-20,50,28,033
13121,10,50,28,033
13135,27,50,28,033
13153,-49,50,28,033
13189,-32,50,28,033
13197,-20,50,28,033
13295,-14,50,28,033
13297,14,50,28,033
16027,-10,50,28,033
17019,-26,50,28,033
17031,100,50,28,033
17051,-34,50,28,033
17055,-12,50,28,033
17097,-50,50,28,033
17105,-3,50,28,033
17115,-30,50,28,033
17119,44,50,28,033
17163,-4,50,28,033
17201,46,50,28,033
18077,7,50,28,033
18141,-18,50,28,033
18153,-2,50,28,033
18181,-3,50,28,033
19057,13,50,28,033
19095,-66,50,28,033
19103,-34,50,28,033
20091,21,50,28,033
20173,20,50,28,033
20177,-22,50,28,033
21047,35,50,28,033
21059,55,50,28,033
21083,4,50,28,033
21093,41,50,28,033
21111,20,50,28,033
21141,-39,50,28,033
21145,-37,50,28,033
21155,22,50,28,033
21187,-45,50,28,033
22003,-5,50,28,033
22005,-15,50,28,033
22013,13,50,28,033
22015,-14,50,28,033
22033,23,50,28,033
22051,60,50,28,033
22061,18,50,28,033
22071,-11,50,28,033
22103,41,50,28,033
22109,-8,50,28,033
24003,-46,50,28,033
26049,23,50,28,033
26065,24,50,28,033
26091,-31,50,28,033
26099,24,50,28,033
26147,147,50,28,033
26163,70,50,28,033
27053,-35,50,28,033
27145,11,50,28,033
28003,43,50,28,033
28009,-33,50,28,033
28011,6,50,28,033
28013,46,50,28,033
28023,15,50,28,033
28027,202,50,28,033
28029,-20,50,28,033
28035,-21,50,28,033
28041,-21,50,28,033
28043,37,50,28,033
28047,99,50,28,033
28049,-43,50,28,033
