0,1,2,3,4,5,6,7
FULL2_NAME,GEOID2,MOVEDIN,MOVEDOUT,MOVEDNET,SUMLEV2,state,county
"Benton County, Mississippi",28009,9,42,-33,50,28,033
"Bolivar County, Mississippi",28011,21,15,6,50,28,033
"Calhoun County, Mississippi",28013,56,10,46,50,28,033
"Clarke County, Mississippi",28023,15,0,15,50,28,033
"Coahoma County, Mississippi",28027,202,0,202,50,28,033
"Copiah County, Mississippi",28029,17,37,-20,50,28,033
"Forrest County, Mississippi",28035,15,36,-21,50,28,033
"Greene County, Mississippi",28041,0,21,-21,50,28,033
"Grenada County, Mississippi",28043,37,0,37,50,28,033
"Harrison County, Mississippi",28047,158,59,99,50,28,033
"Hinds County, Mississippi",28049,17,60,-43,50,28,033
"Issaquena County, Mississippi",28055,20,0,20,50,28,033
"Itawamba County, Mississippi",28057,0,32,-32,50,28,033
"Jackson County, Mississippi",28059,28,0,28,50,28,033
"Jones County, Mississippi",28067,0,25,-25,50,28,033
"Kemper County, Mississippi",28069,28,0,28,50,28,033
"Lafayette County, Mississippi",28071,128,235,-107,50,28,033
"Lauderdale County, Mississippi",28075,7,0,7,50,28,033
"Leake County, Mississippi",28079,0,11,-11,50,28,033
"Lee County, Mississippi",28081,25,21,4,50,28,033
"Leflore County, Mississippi",28083,58,8,50,50,28,033
"Lincoln County, Mississippi",28085,53,0,53,50,28,033
"Lowndes County, Mississippi",28087,92,53,39,50,28,033
"Madison County, Mississippi",28089,131,0,131,50,28,033
"Marshall County, Mississippi",28093,256,516,-260,50,28,033
"Monroe County, Mississippi",28095,36,38,-2,50,28,033
"Neshoba County, Mississippi",28099,0,8,-8,50,28,033
"Oktibbeha County, Mississippi",28105,9,265,-256,50,28,033
"Panola County, Mississippi",28107,372,105,267,50,28,033
"Perry County, Mississippi",28111,0,14,-14,50,28,033
"Prentiss County, Mississippi",28117,32,48,-16,50,28,033
"Quitman County, Mississippi",28119,6,4,2,50,28,033
"Rankin County, Mississippi",28121,48,144,-96,50,28,033
"Simpson County, Mississippi",28127,0,5,-5,50,28,033
"Sunflower County, Mississippi",28133,219,67,152,50,28,033
"Tate County, Mississippi",28137,210,338,-128,50,28,033
"Tishomingo County, Mississippi",28141,31,37,-6,50,28,033
"Tunica County, Mississippi",28143,393,107,286,50,28,033
"Union County, Mississippi",28145,0,69,-69,50,28,033
"Walthall County, Mississippi",28147,63,0,63,50,28,033
"Webster County, Mississippi",28155,0,48,-48,50,28,033
"Winston County, Mississippi",28159,6,0,6,50,28,033
"Yalobusha County, Mississippi",28161,0,29,-29,50,28,033
"Yazoo County, Mississippi",28163,15,0,15,50,28,033
"Boone County, Missouri",29019,119,0,119,50,28,033
"Dunklin County, Missouri",29069,28,0,28,50,28,033
"Greene County, Missouri",29077,0,6,-6,50,28,033
"Jackson County, Missouri",29095,0,13,-13,50,28,033
"Laclede County, Missouri",29105,37,0,37,50,28,033
"Morgan County, Missouri",29141,0,29,-29,50,28,033
"New Madrid County, Missouri",29143,0,29,-29,50,28,033
"Nodaway County, Missouri",29147,0,4,-4,50,28,033
"Ozark County, Missouri",29153,0,16,-16,50,28,033
"Randolph County, Missouri",29175,9,0,9,50,28,033
"St. Charles County, Missouri",29183,0,34,-34,50,28,033
"St. Louis County, Missouri",29189,18,20,-2,50,28,033
"St. Louis city, Missouri",29510,0,104,-104,50,28,033
"Lake County, Montana",30047,148,0,148,50,28,033
"Douglas County, Nebraska",31055,0,40,-40,50,28,033
"Sarpy County, Nebraska",31153,0,39,-39,50,28,033
"Clark County, Nevada",32003,8,59,-51,50,28,033
"Santa Fe County, New Mexico",35049,21,0,21,50,28,033
"Alamance County, North Carolina",37001,0,16,-16,50,28,033
"Gaston County, North Carolina",37071,12,0,12,50,28,033
"Iredell County, North Carolina",37097,27,0,27,50,28,033
"Onslow County, North Carolina",37133,26,9,17,50,28,033
"Wake County, North Carolina",37183,40,0,40,50,28,033
"Hancock County, Ohio",39063,11,0,11,50,28,033
"Miami County, Ohio",39109,0,10,-10,50,28,033
"Canadian County, Oklahoma",40017,0,43,-43,50,28,033
"Comanche County, Oklahoma",40031,0,12,-12,50,28,033
"Le Flore County, Oklahoma",40079,5,0,5,50,28,033
"Oklahoma County, Oklahoma",40109,133,0,133,50,28,033
"Tulsa County, Oklahoma",40143,0,20,-20,50,28,033
"Beaver County, Pennsylvania",42007,0,9,-9,50,28,033
"Bucks County, Pennsylvania",42017,3,0,3,50,28,033
"Butler County, Pennsylvania",42019,0,23,-23,50,28,033
"Franklin County, Pennsylvania",42055,0,9,-9,50,28,033
"York County, Pennsylvania",42133,41,0,41,50,28,033
"Charleston County, South Carolina",45019,84,0,84,50,28,033
"Richland County, South Carolina",45079,0,4,-4,50,28,033
