0,1,2,3,4
GEOID2,MOVEDNET,SUMLEV2,state,county
01071,-13,50,28,033
01075,30,50,28,033
01077,59,50,28,033
01083,-5,50,28,033
01097,11,50,28,033
01115,9,50,28,033
04013,34,50,28,033
05001,13,50,28,033
05005,-4,50,28,033
05007,-5,50,28,033
05011,-1,50,28,033
05027,-17,50,28,033
05031,25,50,28,033
05035,67,50,28,033
05037,-54,50,28,033
05043,-14,50,28,033
05045,-17,50,28,033
05051,-80,50,28,033
05055,14,50,28,033
05063,-2,50,28,033
05065,-34,50,28,033
05069,-7,50,28,033
05071,-15,50,28,033
05077,-1,50,28,033
05079,15,50,28,033
05091,-6,50,28,033
05093,20,50,28,033
05119,-100,50,28,033
05123,97,50,28,033
05131,43,50,28,033
05135,3,50,28,033
05143,-1,50,28,033
05145,3,50,28,033
06001,-30,50,28,033
06037,-12,50,28,033
06071,93,50,28,033
08031,23,50,28,033
08041,43,50,28,033
08077,-50,50,28,033
09009,38,50,28,033
10003,-37,50,28,033
11001,18,50,28,033
12005,-20,50,28,033
12015,29,50,28,033
12086,12,50,28,033
12091,41,50,28,033
12099,-8,50,28,033
12101,-15,50,28,033
12105,3,50,28,033
12117,-106,50,28,033
13063,34,50,28,033
13089,34,50,28,033
13137,-13,50,28,033
13157,-6,50,28,033
13219,-19,50,28,033
13273,194,50,28,033
13311,10,50,28,033
17007,16,50,28,033
17027,-34,50,28,033
17029,5,50,28,033
17031,19,50,28,033
17067,-16,50,28,033
17119,-42,50,28,033
17167,12,50,28,033
18029,-13,50,28,033
18057,24,50,28,033
18063,-11,50,28,033
18089,-8,50,28,033
19057,10,50,28,033
19163,-82,50,28,033
20091,-55,50,28,033
20099,-41,50,28,033
20111,-8,50,28,033
21019,10,50,28,033
21035,-20,50,28,033
21111,27,50,28,033
22033,-17,50,28,033
22051,8,50,28,033
22063,9,50,28,033
22101,-12,50,28,033
22103,17,50,28,033
22105,-54,50,28,033
22109,-119,50,28,033
24015,7,50,28,033
24039,-10,50,28,033
26049,-1,50,28,033
26077,-16,50,28,033
26163,-51,50,28,033
27015,-3,50,28,033
27139,6,50,28,033
27145,6,50,28,033
27147,-67,50,28,033
28001,90,50,28,033
28003,-3,50,28,033
28009,95,50,28,033
28011,-43,50,28,033
28013,9,50,28,033
28017,-19,50,28,033
28019,-1,50,28,033
28023,-6,50,28,033
28027,217,50,28,033
28029,24,50,28,033
28035,-151,50,28,033
28041,-5,50,28,033
28043,77,50,28,033
28045,-111,50,28,033
28047,-120,50,28,033
28049,-148,50,28,033
28051,-9,50,28,033
28055,-2,50,28,033
28057,-16,50,28,033
28059,-49,50,28,033
28067,-24,50,28,033
28069,-9,50,28,033
28071,-81,50,28,033
28073,-298,50,28,033
28075,27,50,28,033
28081,77,50,28,033
28083,200,50,28,033
28085,-16,50,28,033
28087,17,50,28,033
28089,-3,50,28,033
28093,-740,50,28,033
28095,48,50,28,033
28105,-48,50,28,033
28107,-102,50,28,033
28109,-8,50,28,033
28113,4,50,28,033
28115,17,50,28,033
28119,180,50,28,033
28121,61,50,28,033
28127,-18,50,28,033
28133,-17,50,28,033
28135,9,50,28,033
28137,-224,50,28,033
28139,6,50,28,033
28141,-6,50,28,033
28143,240,50,28,033
28145,-6,50,28,033
28147,-1,50,28,033
28149,-2,50,28,033
28151,2,50,28,033
28159,37,50,28,033
28161,6,50,28,033
28163,-5,50,28,033
29023,-5,50,28,033
29037,64,50,28,033
29073,57,50,28,033
29097,-58,50,28,033
29141,48,50,28,033
29155,10,50,28,033
29157,-10,50,28,033
29159,-3,50,28,033
29169,-62,50,28,033
29183,-86,50,28,033
29189,-26,50,28,033
29510,62,50,28,033
31119,138,50,28,033
31161,-1,50,28,033
32003,21,50,28,033
32005,53,50,28,033
34003,347,50,28,033
34005,-15,50,28,033
34017,-6,50,28,033
36047,-10,50,28,033
36053,48,50,28,033
36061,-10,50,28,033
36081,11,50,28,033
36091,32,50,28,033
36119,15,50,28,033
37049,7,50,28,033
37109,-12,50,28,033
37151,-7,50,28,033
39153,-60,50,28,033
39173,17,50,28,033
40109,-14,50,28,033
40143,-20,50,28,033
41017,25,50,28,033
42045,-55,50,28,033
42055,11,50,28,033
44005,-9,50,28,033
45013,139,50,28,033
45051,18,50,28,033
45063,-25,50,28,033
45079,-3,50,28,033
47001,-1,50,28,033
47011,-2,50,28,033
47017,30,50,28,033
47033,-7,50,28,033
47037,-409,50,28,033
47047,-32,50,28,033
47055,-15,50,28,033
47065,-32,50,28,033
47069,-27,50,28,033
47079,-10,50,28,033
47097,-5,50,28,033
47099,-22,50,28,033
47117,-1,50,28,033
47119,-2,50,28,033
47131,-6,50,28,033
47149,-60,50,28,033
47157,1401,50,28,033
47165,-36,50,28,033
47167,59,50,28,033
47179,-11,50,28,033
47187,-139,50,28,033
47189,-22,50,28,033
48001,23,50,28,033
48085,-19,50,28,033
48113,-15,50,28,033
48157,65,50,28,033
48181,-12,50,28,033
48201,-10,50,28,033
48209,233,50,28,033
48329,60,50,28,033
48423,-16,50,28,033
48439,18,50,28,033
48451,-55,50,28,033
48453,-16,50,28,033
48491,84,50,28,033
49003,-7,50,28,033
49035,-46,50,28,033
49049,-7,50,28,033
51013,-35,50,28,033
51177,-20,50,28,033
51179,41,50,28,033
51650,-4,50,28,033
51710,-8,50,28,033
53033,-9,50,28,033
53061,-24,50,28,033
54055,72,50,28,033
54079,37,50,28,033
55005,28,50,28,033
55009,-8,50,28,033
55015,-5,50,28,033
55021,-3,50,28,033
