0,1,2,3,4
GEOID2,MOVEDNET,SUMLEV2,state,county
01033,-25,50,28,033
01039,7,50,28,033
01053,1,50,28,033
01059,13,50,28,033
01071,35,50,28,033
01073,-39,50,28,033
01091,-30,50,28,033
01097,10,50,28,033
01103,10,50,28,033
01115,24,50,28,033
02020,7,50,28,033
02110,-7,50,28,033
04015,112,50,28,033
04019,-36,50,28,033
05001,-9,50,28,033
05007,75,50,28,033
05023,68,50,28,033
05031,-327,50,28,033
05033,46,50,28,033
05035,76,50,28,033
05041,36,50,28,033
05051,6,50,28,033
05055,2,50,28,033
05063,20,50,28,033
05069,35,50,28,033
05085,84,50,28,033
05091,44,50,28,033
05093,178,50,28,033
05107,157,50,28,033
05111,-19,50,28,033
05119,8,50,28,033
05123,-11,50,28,033
05125,24,50,28,033
05147,-1,50,28,033
06029,15,50,28,033
06037,92,50,28,033
06059,74,50,28,033
06065,-139,50,28,033
06071,-12,50,28,033
06073,-24,50,28,033
06085,-4,50,28,033
06095,0,50,28,033
06111,27,50,28,033
06113,-21,50,28,033
08011,21,50,28,033
08035,-22,50,28,033
08041,86,50,28,033
12009,19,50,28,033
12023,27,50,28,033
12033,-70,50,28,033
12039,18,50,28,033
12055,20,50,28,033
12057,-29,50,28,033
12086,63,50,28,033
12091,-21,50,28,033
12095,48,50,28,033
12099,36,50,28,033
12101,-15,50,28,033
12103,23,50,28,033
12113,-32,50,28,033
13051,-43,50,28,033
13067,-36,50,28,033
13089,66,50,28,033
13115,-15,50,28,033
13121,47,50,28,033
13131,1,50,28,033
13151,116,50,28,033
13153,-21,50,28,033
13189,-19,50,28,033
13217,16,50,28,033
13245,-4,50,28,033
16001,-43,50,28,033
17015,-6,50,28,033
17019,0,50,28,033
17031,-73,50,28,033
17051,-15,50,28,033
17055,-11,50,28,033
17115,-30,50,28,033
17163,-28,50,28,033
17201,46,50,28,033
18009,-12,50,28,033
18035,-73,50,28,033
18057,7,50,28,033
18141,-15,50,28,033
18153,-5,50,28,033
18157,-8,50,28,033
18181,-2,50,28,033
19013,-25,50,28,033
19103,-35,50,28,033
19123,11,50,28,033
20091,16,50,28,033
20113,-76,50,28,033
20115,-1,50,28,033
20173,18,50,28,033
21015,-29,50,28,033
21021,-1,50,28,033
21047,3,50,28,033
21075,-1,50,28,033
21083,24,50,28,033
21093,49,50,28,033
21111,61,50,28,033
21235,2,50,28,033
21237,-2,50,28,033
22033,-143,50,28,033
22051,-16,50,28,033
22059,-4,50,28,033
22071,-7,50,28,033
22083,-16,50,28,033
23005,26,50,28,033
23019,-11,50,28,033
24003,-25,50,28,033
26091,-32,50,28,033
26099,11,50,28,033
26163,-17,50,28,033
27037,27,50,28,033
27053,-30,50,28,033
27145,15,50,28,033
28001,11,50,28,033
28003,58,50,28,033
28009,2,50,28,033
28011,-20,50,28,033
28013,77,50,28,033
28017,-22,50,28,033
28021,-7,50,28,033
28023,9,50,28,033
28027,85,50,28,033
28029,-28,50,28,033
28035,23,50,28,033
28041,-10,50,28,033
28043,32,50,28,033
28047,136,50,28,033
28049,31,50,28,033
28055,9,50,28,033
28057,-11,50,28,033
28059,-247,50,28,033
28067,-18,50,28,033
28069,-9,50,28,033
28071,26,50,28,033
28075,7,50,28,033
28079,-12,50,28,033
28081,91,50,28,033
28083,20,50,28,033
28085,77,50,28,033
28087,25,50,28,033
28089,139,50,28,033
28093,545,50,28,033
28095,-16,50,28,033
28099,-9,50,28,033
28105,-286,50,28,033
28107,123,50,28,033
28109,-16,50,28,033
28113,14,50,28,033
28117,7,50,28,033
28119,193,50,28,033
28121,-91,50,28,033
28123,14,50,28,033
28125,-9,50,28,033
28127,-27,50,28,033
28131,0,50,28,033
28133,320,50,28,033
28135,41,50,28,033
28137,108,50,28,033
28139,-20,50,28,033
28141,27,50,28,033
28143,201,50,28,033
28145,-123,50,28,033
28149,-3,50,28,033
28155,-48,50,28,033
28161,16,50,28,033
28163,41,50,28,033
29059,16,50,28,033
29069,6,50,28,033
29095,-11,50,28,033
29099,9,50,28,033
29169,-13,50,28,033
29175,3,50,28,033
29189,-27,50,28,033
31055,-61,50,28,033
31153,-4,50,28,033
32003,-152,50,28,033
35013,129,50,28,033
35049,22,50,28,033
36059,41,50,28,033
36067,-3,50,28,033
36081,-17,50,28,033
36087,-14,50,28,033
36119,-5,50,28,033
37001,-21,50,28,033
37025,-20,50,28,033
37051,18,50,28,033
37071,12,50,28,033
37129,-117,50,28,033
38101,-9,50,28,033
39041,-5,50,28,033
39049,15,50,28,033
39061,-82,50,28,033
39095,-6,50,28,033
39109,-12,50,28,033
39113,-10,50,28,033
39121,-10,50,28,033
39153,59,50,28,033
40009,-14,50,28,033
40011,-8,50,28,033
40017,-52,50,28,033
40031,-4,50,28,033
40065,-12,50,28,033
40109,99,50,28,033
40135,9,50,28,033
40143,11,50,28,033
40145,-10,50,28,033
42017,10,50,28,033
42019,-20,50,28,033
45015,-21,50,28,033
45045,-27,50,28,033
45079,-33,50,28,033
45091,-27,50,28,033
46087,-13,50,28,033
46103,-14,50,28,033
47017,46,50,28,033
47035,-233,50,28,033
47037,40,50,28,033
47045,-93,50,28,033
47047,-201,50,28,033
47053,-43,50,28,033
47065,9,50,28,033
47069,22,50,28,033
47075,-15,50,28,033
47083,26,50,28,033
47085,-23,50,28,033
47109,81,50,28,033
47119,-32,50,28,033
47123,-1,50,28,033
47125,21,50,28,033
47149,-85,50,28,033
47155,-160,50,28,033
47157,1135,50,28,033
47163,5,50,28,033
47167,226,50,28,033
47177,7,50,28,033
47179,-52,50,28,033
47187,-60,50,28,033
48007,-18,50,28,033
48013,-34,50,28,033
48061,-1,50,28,033
48113,33,50,28,033
48141,68,50,28,033
48183,24,50,28,033
48201,-57,50,28,033
48209,10,50,28,033
48227,-54,50,28,033
48307,-5,50,28,033
48339,-27,50,28,033
48439,-74,50,28,033
48451,-3,50,28,033
48469,38,50,28,033
48485,-12,50,28,033
49011,-17,50,28,033
49017,-2,50,28,033
49035,-23,50,28,033
51041,13,50,28,033
51059,12,50,28,033
53053,-18,50,28,033
53061,-12,50,28,033
54061,-9,50,28,033
55055,5,50,28,033
55111,8,50,28,033
56021,6,50,28,033
56033,9,50,28,033
