0,1,2,3,4,5,6,7,8,9,10
FULL2_NAME,GEOID2,MOVEDNET,RACE,AGE,SEX,HISP_ORIGIN,SUMLEV2,GEOID2,state,county
"Shelby County, Tennessee",47157,2145,0,0,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,1150,0,0,01,0,50,47157,28,033
"Shelby County, Tennessee",47157,995,0,0,02,0,50,47157,28,033
"Shelby County, Tennessee",47157,796,0,0,00,1,50,47157,28,033
"Shelby County, Tennessee",47157,1170,0,0,00,2,50,47157,28,033
"Shelby County, Tennessee",47157,179,0,0,00,3,50,47157,28,033
"Shelby County, Tennessee",47157,984,1,0,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,953,2,0,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,46,3,0,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,162,4,0,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,174,0,1,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,600,0,2,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,-12,0,3,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,-46,0,4,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,577,0,5,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,71,0,6,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,181,0,7,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,43,0,8,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,145,0,9,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,4,0,10,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,184,0,11,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,95,0,12,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,64,0,13,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,36,0,14,00,0,50,47157,28,033
"Shelby County, Tennessee",47157,29,0,15,00,0,50,47157,28,033
